1,2,3,4,5,6
5.7308993,6.261072,5.683617,5.935048,5.7366357,6.2032385
6.767146,7.133128,6.5946054,6.8044815,6.5408177,7.0588813
10.563023,10.457999,10.33303,10.359656,10.041486,10.263833
11.638258,11.407466,11.45824,11.484515,11.095553,11.292377
11.086429,10.537903,10.716204,10.743173,10.176722,10.57156
10.573122,10.64669,10.327801,10.4076395,10.006355,10.2501135
9.057718,8.971485,8.74762,8.653179,8.215446,8.328748
6.902503,6.6632156,6.403229,6.3939004,5.518691,5.8486013
8.239905,7.6650724,8.048699,7.8977118,7.3391232,6.654638
7.861179,7.9823556,7.6315775,7.773092,7.127943,7.318451
7.768244,7.8114104,7.5597844,7.6744976,7.157222,7.597294
8.600297,8.7403345,8.469714,8.6183605,8.509486,8.884544
5.6701517,5.729317,5.5101047,5.5888,5.4694457,5.9015446
3.1135685,3.3217783,2.8663766,2.9672709,2.8183422,3.139056
4.5190635,4.949062,4.14442,4.3278503,3.821113,4.1902914
4.7109847,4.898337,4.342891,4.539374,3.932246,4.354299
4.615984,4.669925,4.2945614,4.3356595,4.0187035,4.1794586
6.146352,6.2189107,5.802399,5.888622,5.5619016,5.6796083
3.8747814,4.0329156,3.5195704,3.6070838,3.2253363,3.639021
3.2707474,4.169238,3.3670447,3.6790094,3.4760976,4.1498795
5.1882944,5.6362896,4.9632688,5.2315445,4.7261124,5.1200976
7.074217,7.179125,6.7039123,6.8216805,6.3140554,6.59418
8.152938,8.389049,7.956372,8.0262375,7.884318,8.131692
10.168612,10.250395,10.081598,10.069575,10.029816,10.171107
9.364115,9.5602045,9.222057,9.34487,9.247327,9.596689
9.392003,9.402461,9.226261,9.342008,9.003736,9.168202
11.33951,11.549678,11.156608,11.321236,10.97468,11.353178
10.026323,10.172644,9.809515,9.922458,9.502627,9.518245
9.688917,9.767404,9.41628,9.485943,9.015044,9.356577
6.75289,7.0042105,6.4956975,6.6808157,6.3884187,6.8121367
5.4198256,5.40666,5.1912026,5.313408,4.9714537,5.233899
4.9674864,4.994012,4.472378,4.5418077,4.007391,4.16968
3.8977606,4.348364,3.4979303,3.5576088,3.2847235,3.5275142
4.270474,4.6606016,4.1642394,4.4906864,4.0661826,4.5804205
3.5260494,3.8780074,3.2794945,3.5265486,3.000991,3.5566418
4.8114696,5.204007,4.427222,4.682055,4.109843,4.753699
5.1063013,5.429793,4.728009,4.9336934,4.3500934,4.833694
4.5937266,5.2326155,4.185353,4.530963,3.936272,4.4354725
6.257656,6.5505548,5.956194,6.1650085,5.7136884,6.0943737
5.436669,5.6241894,5.135066,5.2912784,4.9226704,5.2497673
5.2243805,5.376837,4.85803,5.0224648,4.586548,4.983235
4.3300624,4.4018383,4.1322594,4.2254024,4.034701,4.36013
7.2544694,7.5744395,7.0252185,7.159207,6.9108896,7.263692
7.114546,7.1437864,6.7836237,6.831945,6.5856047,6.762307
7.259447,7.350024,7.0254936,7.089107,6.9206486,7.1750484
6.1505904,6.417534,5.9137244,6.09724,5.756494,6.107907
5.6981783,5.8008714,5.4070044,5.610241,5.0812,5.4133844
4.030671,4.3514733,3.957905,4.2491655,4.014904,4.5007443
5.289174,5.542814,5.10127,5.2338686,5.1040025,5.511785
6.391012,6.4411583,6.225032,6.28723,6.1067915,6.2557936
